DD,reach,runjday,avgrunjd,period,year,season,month,day,sampling,NO3eff_total,NO3,NH4,SRP,Q,deltaQ,w,rchw,L,area,NO3load,LNO3prop,NO3dwnup,LNO3pred,LNO3PO,LNO3OP,LNO3dif,delNO3L,NO3eff,UNO3
175.05,4,56,56,1,1986,1winter,2,25,3,,,,,190.68,79.52,41,42.2,78.6,3315635,,,,,,,,,,
195.59,5,56,56,1,1986,1winter,2,25,3,,,,,222.32,31.64,66.5,53.8,29.2,1569894,,,,,,,,,,
0,,69,69,1,1986,2spring,3,10,4,,0.28,0.3,0.08,5.38,,8.9,,,,130.15,0.16,,,,,,,,
42.34,1,69,69,1,1986,2spring,3,10,4,1.49504418,0.36,0.14,0.067,10.44,5.068,29.8,19.3,44.9,868470,324.73,0.4,2.49,252.56,0.78,1.29,72.16,194.57,1.49,224.04
70.99,2,69,69,1,1986,2spring,3,10,4,1.684056857,0.38,0.14,0.083,10.64,0.196,25.9,27.8,19.9,554427,349.33,0.43,1.08,330.95,0.95,1.06,18.39,24.61,0.08,44.38
86.71,3,69,69,1,1986,2spring,3,10,4,2.576258164,0.26,0.08,0.074,20.72,10.08,43.4,34.6,24.4,845052,465.45,0.57,1.33,680.28,1.46,0.68,-214.82,116.12,0.33,137.41
175.05,4,69,69,1,1986,2spring,3,10,4,4.728774491,0.23,0.05,0.085,37.52,16.8,41,42.2,78.6,3315615,745.6,0.92,1.6,842.85,1.13,0.88,-97.25,280.14,0.6,84.49
195.59,5,69,69,1,1986,2spring,3,10,4,5.256626969,0.17,0.03,0.067,55.44,17.92,63,52,29.2,1517864,814.3,1,1.09,1101.7,1.35,0.74,-287.4,68.71,0.09,45.26
0,,97,97,1,1986,2spring,4,7,5,,0.03,0.06,0.02,4.59,,8.9,,,,11.9,0.59,,,,,,,,
42.34,1,97,97,1,1986,2spring,4,7,5,10.26806723,0.2,0.02,0.019,7.76,3.164,29.2,19.1,44.9,855943,134.09,6.68,11.27,20.11,0.15,6.67,113.98,122.2,10.27,142.76
70.99,2,97,97,1,1986,2spring,4,7,5,9.690756303,0.18,0.02,0.03,8.18,0.42,25.9,27.6,19.9,548833,127.22,6.34,0.95,141.35,1.11,0.9,-14.14,-6.88,-0.05,-12.53
86.71,3,97,97,1,1986,2spring,4,7,5,3.983193277,0.04,0.01,0.026,17.16,8.988,43.4,34.6,24.4,844971,59.3,2.95,0.47,266.87,4.5,0.22,-207.57,-67.91,-0.53,-80.37
175.05,4,97,97,1,1986,2spring,4,7,5,0.057142857,0.005,0.01,0.025,29.12,11.956,41,42.2,78.6,3315496,12.58,0.63,0.21,100.64,8,0.13,-88.06,-46.73,-0.79,-14.09
195.59,5,97,97,1,1986,2spring,4,7,5,0.687394958,0.005,0.01,0.015,46.48,17.36,62.5,51.8,29.2,1511259,20.08,1,1.6,20.08,1,1,0,7.5,0.6,4.96
0,,111,111,1,1986,2spring,4,21,6,,0.01,0.01,0.01,4.82,,8.9,,,,4.16,0.21,,,,,,,,
42.34,1,111,111,1,1986,2spring,4,21,6,18.61538462,0.12,0.005,0.015,7.87,3.052,29.2,19.1,44.9,856457,81.6,4.11,19.59,6.8,0.08,12,74.8,77.43,18.59,90.41
70.99,2,111,111,1,1986,2spring,4,21,6,5.836538462,0.04,0.005,0.018,8.23,0.364,25.9,27.6,19.9,549063,28.44,1.43,0.35,85.33,3,0.33,-56.89,-53.15,-0.65,-96.81
86.71,3,111,111,1,1986,2spring,4,21,6,0.680288462,0.005,0.005,0.013,16.18,7.952,43.4,34.6,24.4,844943,6.99,0.35,0.25,55.92,8,0.13,-48.93,-21.45,-0.75,-25.39
175.05,4,111,111,1,1986,2spring,4,21,6,1.413461538,0.005,0.005,0.018,23.24,7.056,41,42.2,78.6,3315376,10.04,0.51,1.44,10.04,1,1,0,3.05,0.44,0.92
195.59,5,111,111,1,1986,2spring,4,21,6,3.769230769,0.005,0.005,0.012,45.92,22.68,62.5,51.7,29.2,1510797,19.84,1,1.98,19.84,1,1,0,9.8,0.98,6.49
0,,125,125.5,1,1986,2spring,5,5,7,,0.01,0.01,0.02,6.5,,8.9,,,,5.62,0.18,,,,,,,,
42.34,1,125,125.5,1,1986,2spring,5,5,7,10.14946619,0.07,0.005,0.029,10.36,3.864,29.8,19.3,44.9,868096,62.66,1.98,11.16,8.95,0.14,7,53.71,57.04,10.16,65.71
70.99,2,125,125.5,1,1986,2spring,5,5,7,5.457295374,0.04,0.005,0.046,10.5,0.14,25.9,27.8,19.9,554260,36.29,1.15,0.58,63.5,1.75,0.57,-27.22,-26.37,-0.42,-47.58
86.71,3,126,125.5,1,1986,2spring,5,6,7,0.734875445,0.005,0.005,0.034,22.57,12.068,43.4,34.6,24.4,845055,9.75,0.31,0.27,78,8,0.13,-68.25,-26.54,-0.73,-31.4
175.05,4,126,125.5,1,1986,2spring,5,6,7,1.560498221,0.005,0.005,0.041,33.32,10.752,41,42.2,78.6,3315628,14.39,0.45,1.48,14.39,1,1,0,4.64,0.48,1.4
195.59,5,126,125.5,1,1986,2spring,5,6,7,4.638790036,0.005,0.005,0.025,73.36,40.04,63.7,52.3,29.2,1528356,31.69,1,2.2,31.69,1,1,0,17.3,1.2,11.32
0,,139,139.5,1,1986,2spring,5,19,8,,0.01,0.01,0.02,5.63,,8.9,,,,4.86,0.2,,,,,,,,
42.34,1,139,139.5,1,1986,2spring,5,19,8,1.598765432,0.02,0.04,0.011,7.31,1.68,29.1,19,44.9,853840,12.63,0.51,2.6,6.32,0.5,2,6.32,7.77,1.6,9.1
70.99,2,139,139.5,1,1986,2spring,5,19,8,-0.323045267,0.005,0.005,0.023,7.62,0.308,25.9,27.5,19.9,547868,3.29,0.13,0.26,13.17,4,0.25,-9.88,-9.34,-0.74,-17.05
86.71,3,140,139.5,1,1986,2spring,5,20,8,0.670781893,0.005,0.005,0.021,18.79,11.172,43.4,34.6,24.4,844957,8.12,0.33,2.47,8.12,1,1,0,4.83,1.47,5.71
175.05,4,140,139.5,1,1986,2spring,5,20,8,1.020576132,0.005,0.005,0.028,22.74,3.948,41,42.2,78.6,3315550,9.82,0.4,1.21,9.82,1,1,0,1.71,0.21,0.51
195.59,5,140,139.5,1,1986,2spring,5,20,8,4.051440329,0.005,0.005,0.015,56.84,34.104,63,52,29.2,1518787,24.55,1,2.5,24.55,1,1,0,14.73,1.5,9.7
0,,153,153.5,1,1986,2spring,6,2,9,,0.01,0.02,0.04,20.3,,8.9,,,,17.54,0.26,,,,,,,,
42.34,1,153,153.5,1,1986,2spring,6,2,9,1.410490308,0.02,0.02,0.1,24.47,4.172,32.7,20.8,44.9,934047,42.28,0.64,2.41,21.14,0.5,2,21.14,24.74,1.41,26.49
70.99,2,153,153.5,1,1986,2spring,6,2,9,1.482896237,0.02,0.02,0.13,25.2,0.728,25.9,29.3,19.9,583523,43.55,0.66,1.03,43.55,1,1,0,1.26,0.03,2.16
86.71,3,154,153.5,1,1986,2spring,6,3,9,3.551311288,0.02,0.02,0.1,46.2,21,43.4,34.6,24.4,845061,79.83,1.2,1.83,79.83,1,1,0,36.29,0.83,42.94
175.05,4,154,153.5,1,1986,2spring,6,3,9,8.103192702,0.03,0.01,0.13,61.6,15.4,41,42.2,78.6,3315635,159.67,2.41,2,106.44,0.67,1.5,53.22,79.83,1,24.08
195.59,5,154,153.5,1,1986,2spring,6,3,9,2.77936146,0.005,0.005,0.054,153.44,91.84,65.6,53.3,29.2,1556002,66.29,1,0.42,397.72,6,0.17,-331.43,-93.38,-0.58,-60.01
0,,167,167.5,1,1986,2spring,6,16,10,,0.03,0.02,0.02,6.64,,8.9,,,,17.21,0.62,,,,,,,,
42.34,1,167,167.5,1,1986,2spring,6,16,10,2.542126671,0.08,0.005,0.023,8.82,2.184,29.4,19.2,44.9,860897,60.96,2.21,3.54,22.86,0.38,2.67,38.1,43.75,2.54,50.82
70.99,2,167,167.5,1,1986,2spring,6,16,10,1.801278327,0.06,0.005,0.054,9.3,0.476,25.9,27.7,19.9,551059,48.21,1.75,0.79,64.28,1.33,0.75,-16.07,-12.75,-0.21,-23.14
86.71,3,168,167.5,1,1986,2spring,6,17,10,0.507263219,0.02,0.005,0.039,15.01,5.712,43.4,34.6,24.4,844907,25.94,0.94,0.54,77.81,3,0.33,-51.87,-22.27,-0.46,-26.36
175.05,4,168,167.5,1,1986,2spring,6,17,10,-0.432887856,0.005,0.005,0.047,22.6,7.588,41,42.2,78.6,3315155,9.76,0.35,0.38,39.05,4,0.25,-29.29,-16.17,-0.62,-4.88
195.59,5,168,167.5,1,1986,2spring,6,17,10,0.602556653,0.005,0.005,0.025,63.84,41.244,63.3,52.2,29.2,1523138,27.58,1,2.82,27.58,1,1,0,17.82,1.82,11.7
0,,195,195,1,1986,3summer,7,14,11,,0.02,0.04,0.03,2.8,,8.9,,,,4.84,0.32,,,,,,,,
42.34,1,195,195,1,1986,3summer,7,14,11,3.551652893,0.05,0.005,0.003,5.1,2.296,28.7,18.8,44.9,843510,22.03,1.46,4.55,8.81,0.4,2.5,13.22,17.19,3.55,20.38
70.99,2,195,195,1,1986,3summer,7,14,11,-0.493801653,0.005,0.005,0.026,5.68,0.588,25.8,27.3,19.9,542784,2.45,0.16,0.11,24.54,10,0.1,-22.08,-19.58,-0.89,-36.07
86.71,3,195,195,1,1986,3summer,7,14,11,-0.006198347,0.005,0.005,0.026,11.14,5.46,43.3,34.6,24.4,843193,4.81,0.32,1.96,4.81,1,1,0,2.36,0.96,2.8
175.05,4,195,195,1,1986,3summer,7,14,11,0.613636364,0.005,0.005,0.031,18.09,6.944,41,42.1,78.6,3311604,7.81,0.52,1.62,7.81,1,1,0,3,0.62,0.91
195.59,5,195,195,1,1986,3summer,7,14,11,2.123966942,0.005,0.005,0.013,35,16.912,61.8,51.4,29.2,1500533,15.12,1,1.93,15.12,1,1,0,7.31,0.93,4.87
0,,224,223.6666667,1,1986,3summer,8,12,12,,0.05,0.02,0.05,0.76,,8.9,,,,3.28,0.55,,,,,,,,
42.34,1,224,223.6666667,1,1986,3summer,8,12,12,7.097560976,0.29,0.005,0.003,1.06,0.308,27.8,18.3,44.9,823433,26.56,4.41,8.09,4.58,0.17,5.8,21.98,23.28,7.09,28.27
70.99,2,224,223.6666667,1,1986,3summer,8,12,12,1.213414634,0.05,0.005,0.041,1.68,0.616,21.7,24.7,19.9,492664,7.26,1.21,0.27,42.09,5.8,0.17,-34.84,-19.3,-0.73,-39.18
86.71,3,223,223.6666667,1,1986,3summer,8,11,12,-0.515243902,0.005,0.005,0.033,3.67,1.988,37.6,29.6,24.4,722680,1.59,0.26,0.22,15.85,10,0.1,-14.27,-5.67,-0.78,-7.85
175.05,4,223,223.6666667,1,1986,3summer,8,11,12,-0.259146341,0.005,0.02,0.003,5.63,1.96,38.3,37.9,78.6,2980952,2.43,0.4,1.53,2.43,1,1,0,0.85,0.53,0.28
195.59,5,224,223.6666667,1,1986,3summer,8,12,12,0.835365854,0.005,0.005,0.005,13.94,8.316,59.4,48.8,29.2,1426236,6.02,1,2.48,6.02,1,1,0,3.59,1.48,2.52
0,,252,252.1666667,1,1986,3summer,9,9,13,,0.04,0.03,0.02,3.08,,8.9,,,,10.64,0.77,,,,,,,,
42.34,1,252,252.1666667,1,1986,3summer,9,9,13,6.685150376,0.13,0.03,0.032,7.28,4.2,29.1,19,44.9,853699,81.77,5.88,7.68,25.16,0.31,3.25,56.61,71.12,6.68,83.31
70.99,2,252,252.1666667,1,1986,3summer,9,9,13,6.030075188,0.11,0.04,0.049,7.87,0.588,25.9,27.5,19.9,547823,74.8,5.38,0.91,88.4,1.18,0.85,-13.6,-6.97,-0.09,-12.73
86.71,3,252,252.1666667,1,1986,3summer,9,9,13,-0.215225564,0.01,0.02,0.041,9.66,1.792,43.2,34.5,24.4,842363,8.35,0.6,0.11,91.81,11,0.09,-83.46,-66.45,-0.89,-78.89
175.05,4,252,252.1666667,1,1986,3summer,9,9,13,-0.203007519,0.005,0.02,0.071,19.63,9.968,41,42.1,78.6,3307028,8.48,0.61,1.02,16.96,2,0.5,-8.48,0.13,0.02,0.04
195.59,5,253,252.1666667,1,1986,3summer,9,10,13,0.307330827,0.005,0.03,0.033,32.2,12.572,61.6,51.3,29.2,1497461,13.91,1,1.64,13.91,1,1,0,5.43,0.64,3.63
0,,287,287.5,1,1986,4autumn,10,14,14,,0.03,0.01,0.01,2.8,,8.9,,,,7.26,0.58,,,,,,,,
42.34,1,287,287.5,1,1986,4autumn,10,14,14,12.24517906,0.14,0.005,0.006,7.95,5.152,29.3,19.1,44.9,856831,96.16,7.72,13.25,20.61,0.21,4.67,75.56,88.91,12.25,103.76
70.99,2,287,287.5,1,1986,4autumn,10,14,14,1.798898072,0.03,0.02,0.012,7.84,-0.112,25.9,27.6,19.9,549210,20.32,1.63,0.21,94.83,4.67,0.21,-74.51,-75.84,-0.79,-138.09
86.71,3,288,287.5,1,1986,4autumn,10,15,14,-0.225895317,0.005,0.005,0.008,13.02,5.18,43.3,34.6,24.4,844576,5.62,0.45,0.28,33.75,6,0.17,-28.12,-14.7,-0.72,-17.4
175.05,4,288,287.5,1,1986,4autumn,10,15,14,0.198347107,0.005,0.005,0.013,20.13,7.112,41,42.2,78.6,3314194,8.7,0.7,1.55,8.7,1,1,0,3.07,0.55,0.93
195.59,5,288,287.5,1,1986,4autumn,10,15,14,0.716253444,0.005,0.005,0.01,28.84,8.708,61.3,51.1,29.2,1493342,12.46,1,1.43,12.46,1,1,0,3.76,0.43,2.52
0,,316,316,1,1986,4autumn,11,12,15,,0.2,0.05,0.02,2.32,,8.9,,,,40.09,4.38,,,,,,,,
42.34,1,316,316,1,1986,4autumn,11,12,15,4.708655525,0.43,0.005,0.013,6.16,3.836,28.9,18.9,44.9,848464,228.86,25.02,5.71,106.44,0.47,2.15,122.41,188.77,4.71,222.48
70.99,2,316,316,1,1986,4autumn,11,12,15,4.19555999,0.41,0.01,0.025,5.88,-0.28,25.9,27.4,19.9,545093,208.29,22.78,0.91,218.45,1.05,0.95,-10.16,-20.56,-0.09,-37.72
86.71,3,316,316,1,1986,4autumn,11,12,15,4.575704665,0.28,0.005,0.011,9.24,3.36,43.1,34.5,24.4,841182,223.53,24.44,1.07,327.32,1.46,0.68,-103.78,15.24,0.07,18.12
175.05,4,316,316,1,1986,4autumn,11,12,15,-0.850087304,0.005,0.005,0.017,13.92,4.676,41,42,78.6,3302965,6.01,0.66,0.03,336.75,56,0.02,-330.74,-217.52,-0.97,-65.86
195.59,5,316,316,1,1986,4autumn,11,12,15,-0.771763532,0.005,0.005,0.012,21.17,7.252,60.5,50.7,29.2,1481057,9.15,1,1.52,9.15,1,1,0,3.13,0.52,2.11
0,,343,343.5,1,1986,1winter,12,9,16,,0.3,0.05,0.02,3.33,,8.9,,,,86.31,0.31,,,,,,,,
42.34,1,343,343.5,1,1986,1winter,12,9,16,1.884254432,0.49,0.005,0.014,5.88,2.548,28.8,18.9,44.9,847156,248.94,0.91,2.88,152.41,0.61,1.63,96.53,162.62,1.88,191.96
70.99,2,343,343.5,1,1986,1winter,12,9,16,1.914494265,0.45,0.02,0.03,6.47,0.588,25.9,27.4,19.9,544729,251.55,0.91,1.01,273.91,1.09,0.92,-22.36,2.62,0.01,4.81
86.71,3,344,343.5,1,1986,1winter,12,10,16,1.763642683,0.34,0.01,0.014,8.12,1.652,42.9,34.4,24.4,838631,238.53,0.87,0.95,315.71,1.32,0.76,-77.17,-13.02,-0.05,-15.53
175.05,4,344,343.5,1,1986,1winter,12,10,16,1.923299734,0.19,0.005,0.014,15.37,7.252,41,41.9,78.6,3294895,252.31,0.92,1.06,451.51,1.79,0.56,-199.2,13.78,0.06,4.18
195.59,5,344,343.5,1,1986,1winter,12,10,16,2.186884486,0.14,0.005,0.01,22.74,7.364,60.7,50.8,29.2,1484109,275.06,1,1.09,373.3,1.36,0.74,-98.24,22.75,0.09,15.33
0,,377,377.5,1,1987,1winter,1,12,17,,0.35,0.06,0.02,2.86,,8.9,,,,86.49,0.29,,,,,,,,
42.34,1,377,377.5,1,1987,1winter,1,12,17,3.649901723,0.54,0.02,0.019,8.62,5.768,29.4,19.2,44.9,859963,402.17,1.33,4.65,260.67,0.65,1.54,141.51,315.69,3.65,367.1
70.99,2,377,377.5,1,1987,1winter,1,12,17,4.115851544,0.59,0.04,0.053,8.68,0.056,25.9,27.6,19.9,550633,442.47,1.46,1.1,404.97,0.92,1.09,37.5,40.3,0.1,73.18
86.71,3,378,377.5,1,1987,1winter,1,13,17,3.184414383,0.44,0.02,0.022,9.52,0.84,43.1,34.5,24.4,842191,361.91,1.19,0.82,485.29,1.34,0.75,-123.38,-80.56,-0.18,-95.65
175.05,4,378,377.5,1,1987,1winter,1,13,17,2.776043473,0.3,0.005,0.023,12.6,3.08,40.9,42,78.6,3302719,326.59,1.08,0.9,479,1.47,0.68,-152.41,-35.32,-0.1,-10.69
195.59,5,378,377.5,1,1987,1winter,1,13,17,2.50757313,0.19,0.005,0.011,18.48,5.88,60.1,50.5,29.2,1475309,303.37,1,0.93,479,1.58,0.63,-175.63,-23.22,-0.07,-15.74
0,,405,405.5,1,1987,1winter,2,9,18,,0.43,0.06,0.03,2.77,,8.9,,,,102.91,0.33,,,,,,,,
42.34,1,405,405.5,1,1987,1winter,2,9,18,2.067534739,0.57,0.01,0.032,6.41,3.64,28.9,18.9,44.9,849633,315.68,1,3.07,238.14,0.75,1.33,77.54,212.77,2.07,250.42
70.99,2,405,405.5,1,1987,1winter,2,9,18,1.811582937,0.52,0.05,0.12,6.44,0.028,25.9,27.4,19.9,545820,289.34,0.92,0.92,317.16,1.1,0.91,-27.82,-26.34,-0.08,-48.26
86.71,3,406,405.5,1,1987,1winter,2,10,18,2.75182198,0.42,0.03,0.033,10.64,4.2,43.2,34.6,24.4,843215,386.1,1.23,1.33,478.03,1.24,0.81,-91.93,96.77,0.33,114.76
175.05,4,406,405.5,1,1987,1winter,2,10,18,3.297250024,0.28,0.005,0.027,18.28,7.644,41,42.1,78.6,3310439,442.23,1.4,1.15,663.34,1.5,0.67,-221.11,56.13,0.15,16.95
195.59,5,406,405.5,1,1987,1winter,2,10,18,2.058692061,0.18,0.005,0.013,20.24,1.96,60.4,50.7,29.2,1480023,314.77,1,0.71,489.65,1.56,0.64,-174.87,-127.46,-0.29,-86.12
0,,433,433,1,1987,2spring,3,9,19,,0.38,0.07,0.05,4.2,,8.9,,,,137.89,0.29,,,,,,,,
42.34,1,433,433,1,1987,2spring,3,9,19,1.543911814,0.5,0.04,0.042,8.12,3.92,29.3,19.1,44.9,857626,350.78,0.75,2.54,266.6,0.76,1.32,84.19,212.89,1.54,248.23
70.99,2,433,433,1,1987,2spring,3,9,19,1.324896657,0.48,0.08,0.06,7.73,-0.392,25.9,27.6,19.9,549556,320.58,0.68,0.91,333.94,1.04,0.96,-13.36,-30.21,-0.09,-54.96
86.71,3,433,433,1,1987,2spring,3,9,19,2.189571397,0.36,0.03,0.049,14.14,6.412,43.4,34.6,24.4,844759,439.81,0.94,1.37,586.41,1.33,0.75,-146.6,119.23,0.37,141.14
175.05,4,433,433,1,1987,2spring,3,9,19,2.103850896,0.24,0.005,0.063,20.64,6.496,41,42.2,78.6,3314832,427.99,0.91,0.97,641.99,1.5,0.67,-214,-11.82,-0.03,-3.57
195.59,5,433,433,1,1987,2spring,3,9,19,2.40010153,0.19,0.005,0.048,28.56,7.924,61.3,51.1,29.2,1492985,468.84,1,1.1,592.22,1.26,0.79,-123.38,40.85,0.1,27.36
0,,461,461.5,1,1987,2spring,4,6,20,,0.03,0.02,0.02,3.53,,8.9,,,,9.15,0.78,,,,,,,,
42.34,1,461,461.5,1,1987,2spring,4,6,20,11.48306011,0.2,0.02,0.027,6.61,3.08,29,18.9,44.9,850568,114.22,9.79,12.48,17.13,0.15,6.67,97.09,105.07,11.48,123.53
70.99,2,461,461.5,1,1987,2spring,4,6,20,17.02076503,0.26,0.01,0.044,7.34,0.728,25.9,27.4,19.9,546392,164.89,14.13,1.44,126.84,0.77,1.3,38.05,50.66,0.44,92.73
86.71,3,462,461.5,1,1987,2spring,4,7,20,11.7136612,0.11,0.005,0.04,12.24,4.9,43.3,34.6,24.4,844305,116.33,9.97,0.71,274.96,2.36,0.42,-158.63,-48.56,-0.29,-57.51
175.05,4,462,461.5,1,1987,2spring,4,7,20,-0.179234973,0.005,0.01,0.03,17.39,5.152,41,42.2,78.6,3313203,7.51,0.64,0.06,165.27,22,0.05,-157.76,-108.82,-0.94,-32.84
195.59,5,462,461.5,1,1987,2spring,4,7,20,0.275409836,0.005,0.005,0.024,27.02,9.632,61.1,51.1,29.2,1490798,11.67,1,1.55,11.67,1,1,0,4.16,0.55,2.79
0,,476,476,1,1987,2spring,4,21,21,,0.02,0.01,0.02,3.75,,8.9,,,,6.48,0.52,,,,,,,,
42.34,1,476,476,1,1987,2spring,4,21,21,8.944444444,0.11,0.005,0.026,6.78,3.024,29,19,44.9,851362,64.44,5.12,9.94,11.72,0.18,5.5,52.72,57.96,8.94,68.08
70.99,2,476,476,1,1987,2spring,4,21,21,6.200617284,0.08,0.005,0.028,6.75,-0.028,25.9,27.4,19.9,546659,46.66,3.71,0.72,64.15,1.38,0.73,-17.5,-17.78,-0.28,-32.53
86.71,3,476,476,1,1987,2spring,4,21,21,5.677469136,0.04,0.005,0.027,12.52,5.768,43.3,34.6,24.4,844292,43.27,3.44,0.93,86.54,2,0.5,-43.27,-3.39,-0.07,-4.01
175.05,4,476,476,1,1987,2spring,4,21,21,0.13117284,0.005,0.005,0.024,16.97,4.452,41,42.2,78.6,3313412,7.33,0.58,0.17,58.65,8,0.13,-51.32,-35.94,-0.83,-10.85
195.59,5,476,476,1,1987,2spring,4,21,21,0.941358025,0.005,0.005,0.019,29.12,12.152,61.3,51.2,29.2,1493571,12.58,1,1.72,12.58,1,1,0,5.25,0.72,3.51
0,,490,489.5,1,1987,2spring,5,5,22,,0.05,0.04,0.03,3.61,,8.9,,,,15.6,0.74,,,,,,,,
42.34,1,490,489.5,1,1987,2spring,5,5,22,2.482692308,0.12,0.005,0.019,5.24,1.624,28.7,18.8,44.9,844164,54.33,2.58,3.48,22.64,0.42,2.4,31.69,38.73,2.48,45.88
70.99,2,490,489.5,1,1987,2spring,5,5,22,0.542307692,0.05,0.005,0.031,5.57,0.336,25.8,27.3,19.9,543003,24.06,1.14,0.44,57.75,2.4,0.42,-33.69,-30.27,-0.56,-55.74
86.71,3,489,489.5,1,1987,2spring,5,4,22,-0.6,0.005,0.005,0.026,14.45,8.876,43.4,34.6,24.4,844083,6.24,0.3,0.26,62.42,10,0.1,-56.18,-17.82,-0.74,-21.11
175.05,4,489,489.5,1,1987,2spring,5,4,22,-0.467307692,0.005,0.005,0.037,19.24,4.788,41,42.2,78.6,3314869,8.31,0.39,1.33,8.31,1,1,0,2.07,0.33,0.62
195.59,5,489,489.5,1,1987,2spring,5,4,22,0.349358974,0.005,0.005,0.025,48.72,29.484,62.6,51.8,29.2,1512966,21.05,1,2.53,21.05,1,1,0,12.74,1.53,8.42
0,,503,503.5,1,1987,2spring,5,18,23,,0.06,0.04,0.04,2.94,,8.9,,,,15.24,0.61,,,,,,,,
42.34,1,503,503.5,1,1987,2spring,5,18,23,-0.385826772,0.03,0.02,0.006,3.61,0.672,28.3,18.6,44.9,836545,9.36,0.37,0.61,18.71,2,0.5,-9.36,-5.88,-0.39,-7.03
70.99,2,503,503.5,1,1987,2spring,5,18,23,-0.916666667,0.005,0.005,0.056,2.94,-0.672,24.8,26.6,19.9,529360,1.27,0.05,0.14,7.62,6,0.17,-6.35,-8.09,-0.86,-15.28
86.71,3,504,503.5,1,1987,2spring,5,19,23,-0.793963255,0.005,0.005,0.038,7.28,4.34,42.6,33.7,24.4,821979,3.14,0.13,2.48,3.14,1,1,0,1.87,1.48,2.28
175.05,4,504,503.5,1,1987,2spring,5,19,23,-0.707349081,0.005,0.005,0.022,10.33,3.052,40.7,41.6,78.6,3273115,4.46,0.18,1.42,4.46,1,1,0,1.32,0.42,0.4
195.59,5,504,503.5,1,1987,2spring,5,19,23,0.650918635,0.01,0.01,0.012,29.12,18.788,61.3,51,29.2,1489580,25.16,1,5.64,12.58,0.5,2,12.58,20.7,4.64,13.89
0,,519,519,1,1987,2spring,6,3,24,,0.04,0.05,0.03,4.76,,8.9,,,,16.45,0.73,,,,,,,,
42.34,1,519,519,1,1987,2spring,6,3,24,2.881458967,0.1,0.005,0.023,7.39,2.632,29.1,19,44.9,854214,63.85,2.84,3.88,25.54,0.4,2.5,38.31,47.4,2.88,55.49
